"Text","Type"
"న్యాయం చేసే నాధుడే లేడు అనుకుంటూ బాధ పడుతూ ఉంటారు. ఇవన్నీ చూసినా కూడా అక్కడున్న జర్నలిస్టులకు మనసు కరగదు. ఇక ఇందులో రెండు పొలిటికల్ పార్టీల మధ్య జరిగే రచ్చ, జర్నలిస్టులు ఏ పార్టీకి వత్తాసు పలకాలో అనే డైలమా,","Normal"
"న్యూసెన్స్ అని ఇదే కాన్సెప్ట్‌ను సినిమాగా తీసి ఉంటే కచ్చితంగా ఇబ్బంది పడేవాళ్లు. అందుకే తెలివిగా వెబ్ సిరీస్ తీశారు అనిపించింది. ఎందుకంటే ఈ వెబ్ సిరీస్ పేరే న్యూసెన్స్","Normal"
"ఇందులో ఓ సీన్ చూసినప్పుడు నిజంగా జర్నలిస్టులు ఇంత రాక్షసంగా ఉంటారా అనే ఆలోచన వస్తుంది. ఓ పేద రైతు కష్టపడి సాగు చేస్తున్న భూమిని ఓ రాజకీయ నాయకుడి మనుషులు కబ్జా చేస్తారు.","Normal"
"నా మొగుడు గురించి రాసింది మీరేనా సామీ.. మీ చేతుల్ని తాకొచ్చా సామీ.. ఏం లేదయ్యా.. నా మొగుడ్ని సంపిన సేతుల్ని ఓ తూరి సూసిపోదామని వచ్చినా.. మీ చేతి కంటిన ఇంకు మరకలు.. ","Normal"
"జర్నలిస్ట్ శివ పాత్రలో నవదీప్ ఒదిగిపోయాడు. తన కళ్ల ముందు జనాలు ఎంత ఎమోషనల్ అయినా చీమ కుట్టినట్లు కూడా అనిపించని.. కాదు కాదు పైకి కనిపించని సెటిల్డ్ పెర్ఫామెన్స్ ఇచ్చాడు.","Normal"
" ఇక ఈ ప్రవేశ పరీక్ష ఫలితాలు ఈనెల 20న విడుదల చేయనున్నారు. ","Normal"
"మూడేళ్ల పాలిటెక్నిక్‌ డిప్లొమా కోర్సుకు సంబంధించి రాష్ట్రవ్యాప్తంగా 84 ప్రభుత్వ, 175 ప్రైవేటు పాలిటెక్నిక్‌ కళాశాలల్లో 29 విభాగాల్లో మొత్తం 70,569 సీట్లు అందుబాటులో ఉన్నాయి.","Normal"
"పాలిసెట్‌ ద్వారా ప్రభుత్వ, ప్రభుత్వ ఎయిడెడ్, ప్రయివేట్‌ పాలిటెక్నిక్‌ కళాశాలల్లో మూడేళ్లు, మూడున్నరేళ్ల కాలవ్యవధి గల డిప్లొమా కోర్సుల్లో ప్రవేశాలు పొందవచ్చు.","Normal"
"సివిల్, మెకానికల్, ఆటోమొబైల్, ఎలక్ట్రికల్‌ అండ్‌ ఎలక్ట్రానిక్స్, ఎలక్ట్రానిక్స్‌ అండ్‌ కమ్యూనికేషన్స్, ఎలక్ట్రానిక్‌ అండ్‌ ఇన్‌స్ట్రుమెంటేషన్, కంప్యూటర్‌ అండ్‌ ఇన్ఫర్మేషన్‌ టెక్నాలజీ, మెటలర్జికల్, కెమికల్‌ తదితర కోర్సులు అందుబాటులో ఉన్నాయి.","Normal"
"కానీ ఢిల్లీ కెప్టెన్ డేవిడ్ వార్నర్ మాత్రం తన ఆటతో ఆకట్టుకున్నాడు.","Normal"
"ఈ మ్యాచ్ సమయంలో చెన్నై ఆల్‌రౌండర్ రవీంద్ర జడేజాను వార్నర్ తన సరదా చేష్టలతో నవ్వించాడు. ","Normal"
"ఐపీఎల్ 2023లో ఢిల్లీ క్యాపిటల్స్ చెత్త ప్రదర్శనతో నిరాశపర్చింది. 14 మ్యాచ్‌ల్లో 5 విజయాలు మాత్రమే సాధించిన ఢిల్లీ.. 9వ స్థానంతో సీజన్‌ను ముగించింది.","Normal"
"కానీ సరిగా కనెక్ట్ కాలేదు. దీంతో వార్నర్ సింగిల్ తీశాడు. వార్నర్ డైవ్ చేసినప్పటికీ","Normal"
"దీంతో రహానే త్రో వేయగా.. బంతి వికెట్లను మిస్సవుతూ రవీంద్ర జడేజా చేతుల్లోకి వెళ్లింది. ","Normal"
" అప్పుడు కూడా వార్నర్ పరుగు తీస్తున్నట్టుగా టీజ్ చేశాడు. జడేజా బంతిని వికెట్లవైపు విసురుతున్నట్లుగా ఢిల్లీ కెప్టెన్‌ను బెదిరించాడు.","Normal"
"జడేజా స్టయిల్లో బ్యాట్‌ను ఖడ్గంలా గాల్లోకి తిప్పాడు. అది చూసిన జడేజా నవ్వుకున్నాడు. ","Normal"
"ఈ వీడియో సోషల్ మీడియాలో వైరల్‌గా మారింది.","Normal"
"అందుకే భారత క్రికెటర్ల కంటే ఎక్కువగా ఇక్కడి ఫ్యాన్స్‌కు అతడు రిప్లయ్ ఇస్తాడని నెటిజన్లు గుర్తు చేస్తున్నారు.","Normal"
"టీ20ల్లో వార్నర్‌కు జడేజాపై మెరుగైన రికార్డ్ ఉంది. జడ్డూ బౌలింగ్‌లో 69 బంతులను ఎదుర్కొన్న వార్నర్.. 124 రన్స్ చేశాడు. 179కిపైగా స్ట్రైక్ రేట్‌తో బ్యాటింగ్ చేసినప్పటికీ.. ఒక్కసారి కూడా అతడికి వికెట్ ఇవ్వలేదు. జడేజా బౌలింగ్‌లో ఈ ఆసీస్ స్టార్ ప్లేయర్ ఆరు ఫోర్లు, 9 సిక్సులు కొట్టాడు.","Normal"
"వీరు తమ శ్రమనే ఎక్కువగా నమ్ముకుంటారట. అంతేకాదు వీరు తమ తెలివితేటలు, సామర్థ్యాలను ఉపయోగించి ఉన్నత స్థాయికి చేరుకుని భారీగా డబ్బు సంపాదిస్తారు","Normal"
"నా పేరు రాముడు  ","Normal"
"హీరోగా తెలుగు సినిమాల్లోకి ఎంట్రీ ఇచ్చిన నిఖిల్‌కు స్వామిరారా సినిమా పెద్ద బ్రేక్‌ ఇచ్చింది. ఆ సినిమా దర్శకుడు సుధీర్‌ వర్మ నిఖిల్‌కు మంచి స్నేహితుడు కూడా. స్వామిరారా నుండి నిఖిల్‌ కార్తికేయ, ఎక్కడికి పోతావు చిన్నవాడా చిత్రాలతో సక్సెస్‌ఫుల్‌ హీరోగా పేరు తెచ్చుకున్నాడు. క్రైమ్‌ కామెడి నేపథ్యంలో స్వామిరారా చిత్రాన్ని రూపొందించిన సుధీర్‌ వర్మ, నిఖిల్‌తో మరో సినిమా చేస్తున్నాడనగానే ఈ హిట్‌ ద్వయం ఎలాంటి సినిమా చేస్తుందో, ఈసారి ఎలాంటి జోనర్‌లో మూవీ చేస్తారోనని అనుకున్నారు. నిఖిల్‌, సుధీర్‌ వర్మ కాంబినేషన్‌లో రివేంజ్‌ డ్రామాగా 'కేశవ' చిత్రం రూపొందుతోందని తెలియగానే, విభిన్నమైన స్క్రిప్ట్‌లను ఎన్నుకునే నిఖిల్‌ కేశవలో ఎలా కనపడనున్నాడోనని అందరూ అనుకున్నారు. మరి కేశవ అందరి ఊహలను రీచ్‌ అయ్యిందా లేదా అని తెలుసుకుందాం... సమర్పణ: దేవాన్ష్‌ నామా నిర్మాణ సంస్థ: అభిషేక్‌ పిక్చర్స్‌తారాగణం: నిఖిల్‌, రీతూవర్మ, ప్రియదర్శి, వెన్నెలకిషోర్‌, నందకిషోర్‌, మధునందన్‌, అజయ్‌, రావు రమేష్‌, బ్రహ్మాజీ, రాజా రవీంద్ర తదితరులు సంగీతం: సన్ని ఎం.ఆర్‌ ఛాయాగ్రహణం: దివాకర్‌ మణి నేపథ్య సంగీతం: ప్రశాంత్‌ పిళ్ళై కూర్పు : ఎస్‌.ఆర్‌.శేఖర్‌ నిర్మాత: అభిషేక్‌ నామా కథ, కథనం, దర్శకత్వం: సుధీర్‌ వర్మ కథ: కేశవ(నిఖిల్‌)కి గుండె అందరిలా కాకుండా కుడి వైపు ఉండటంతో డాక్టర్స్‌ అతను హై ఎమోషనల్‌ ఫీలింగ్స్‌కు లోను కాకూడదని చెబుతారు. కాబట్టి ఏ విషయాన్ని అయినా టెన్షన్‌ లేకుండా కేశవ చేస్తుంటాడు. కేశవ చిన్నతనంలోనే తల్లిదండ్రులు కారు యాక్సిడెంట్‌లో చనిపోతారు. తన కుటుంబం ఎటూ కాకుండా పోయి, తాను ఏకాకిలా మిగలడానికి కారణమైన వారిని చంపాలనుకుంటాడు కేశవ్‌. ఒక పక్క కాకినాడ లా కాలేజ్‌లో చదువుతూనే హత్యలు చేస్తుంటాడు. కేశవ్‌కు చిన్ననాటి స్నేహితురాలైన సత్యభామ(రీతూ వర్మ) కూడా అదే కాలేజ్‌లో చేరుతుంది. కేశవకు, జరుగుతున్న హత్యలకు ఏదో సంబంధం ఉందనే విషయాన్ని సత్యభామ ముందుగానే పసిగడుతుంది.  అయితే కేశవ గతం తెలుసుకుని అతని హెల్ప్‌ చేయాలని నిర్ణయించుకుంటుంది. వరుసగా పోలీసుల హత్యలు జరుగుతుండటంతో పోలీస్‌ డిపార్ట్‌మెంట్‌ హత్యలను విచారణ చేయడానికి సెషల్‌ ఆఫీసర్‌(ఇషా గోపీకర్‌)ను నియమిస్తారు. ఈ కేసుని విశ్లేషిస్తున్న తరుణంలో ఆమెకు కేశవపై అనుమానం వస్తుంది. మరి ఇషా గోపీకర్‌ నిఖిల్‌ను సాక్ష్యాలతో అరెస్ట్‌ చేస్తుందా? చివరకు హార్ట్‌ డిజార్డర్‌ ఉన్న కేశవ తన ప్రతీకారంలో భాగంగా అందరినీ చంపేస్తాడా? అసలు కేశవ హత్యలకు మూల కారణం ఎవరు? సత్యభామ, ప్రియదర్శిలు కాకుండా కేశవకు హత్యల విషయంలో ఇంకెవరెవరు సపోర్ట్‌ చేస్తారు తదితర విషయాలు తెలుసుకోవాలంటే సినిమా చూడాల్సిందే... బలాలు - ఛాయా గ్రహణం - సంగీతం - నేపథ్య సంగీతం - నిఖిల్‌ నటన - ప్రథమార్థం బలహీనతలు - ద్వితీయార్థం - కొన్ని చోట్ల లాజిక్స్‌ మిస్‌ కావడం విశ్లేషణ: సాధారణంగా హీరో కుటుంబానికి అన్యాయం జరగడం, హీరో దానికి ప్రతీకారం తీర్చుకోవడం అనే రివేంజ్‌ ఫార్ములాలో చాలా సినిమాలే వచ్చాయి. అయితే ఓ హార్డ్‌ డిజార్డర్‌ ఉండే హీరోకు అన్యాయం జరిగినప్పుడు, హీరో తన సమస్యను అధిగమించి ఎలా ప్రతీకారం తీర్చుకున్నాడనే పాయింట్‌ వినడానికి బావుంది. దర్శకుడు సుధీర్‌ వర్మ రివేంజ్‌ డ్రామాలో అసలు హీరో ఎందుకు హత్యలు చేస్తాడు అనే దాన్ని ప్రథమార్థంలో ఆసక్తికరంగా మలిచాడు. అలాగే హీరో, అతని ఫ్రెండ్స్‌ మధ్య వచ్చే కామెడి.. వెన్నెల కిషోర్‌ కామెడి సీన్స్ ఆకట్టుకున్నాయి. ఆడియెన్స్‌ వెన్నెల కిషోర్‌ కామెడిని ఎంజాయ్‌ చేస్తారు. పోలీసులు నిఖిల్‌ను చేజ్‌ చేయడం, పోలీసులను తప్పించుకుంటూ నిఖిల్‌ హత్యలు చేయడం వరకు ఫస్టాఫ్‌ ఆసక్తికరంగా సాగుతుంది. ఎప్పుడైతే సెకండాఫ్‌ స్టార్టవుతుందో అక్కడ నుండి స్క్రీన్‌ప్లే నెమ్మదించింది. నిఖిల్‌ హంతకుడు అని పోలీసులకు తెలిసినా కనీసం అతన్ని అరెస్ట్‌ కూడా చేయరు..అదేంటో. ఇక నటన విషయానికొస్తే నిఖిల్‌ తన పాత్రలో ఒదిగిపోయాడు. రగ్‌డ్‌ లుక్‌తో తన పాత్రకు న్యాయం చేశాడు. రీతూ వర్మ పాత్ర పరిమితమే అయినా తనూ చక్కగా నటించింది. చాలా కాలం తర్వాత నటించిన ఇషా గోపీకర్‌ స్పెషల్‌ ఆఫీసర్‌ పాత్రలో మంచి నటనను కనపరిచింది. దర్శకుడు సుధీర్‌ వర్మ సెకండాఫ్‌ విషయంలో కాస్త కేర్‌ తీసుకుని ఉంటే ఇంకా బావుండేదనిపించింది. సన్ని ఎం.ఆర్‌. సంగీతం బావుంది. పాటలన్నీ సందర్భోచితంగానే వస్తాయి. కథలో భాగమైన సాంగ్స్‌ బావున్నాయి. అలాగే ప్రశాంత్‌ పిళ్ళై బ్యాక్‌గ్రౌండ్‌ స్కోర్‌ చాలా బావుంది. దివాకర్‌ మణి సినిమాటోగ్రఫీ సూపర్బ్‌. ప్రతి సీన్‌ను కొత్తగా చూపించే ప్రయత్నం చేశాడు. ఎడిటింగ్‌ ఓకే. బోటమ్‌ లైన్‌: ప్రతీకారమే పరమావధిగా సాగే 'కేశవ' రేటింగ్‌: 2.75/5","Normal"
" సినిమాల్లో యాక్షన్ స్టంట్లు చేసేటప్పుడు ఎక్కువగా హీరోలకు డూప్‌లే చేస్తుంటారు. ఎంత డూప్ చేసినా, ప్రమాదకరమైన అలాంటి స్టంట్లు చేసేటప్పుడు అవసరమైన అన్ని జాగ్రత్తలు తీసుకుంటుంటారు. కానీ, ఇటీవలి కాలంలో సన్నివేశాలు వాస్తవికంగా కనిపించేందుకు డూప్‌లు లేకుండా, సరైన భద్రతా చర్యలు లేకుండా యాక్షన్ సన్నివేశాలను చిత్రీకరిస్తున్నారు. అలా చిత్రీకరిస్తూనే నదిలో పడి కన్నడ స్టంట్ మాస్టర్లు ఇద్దరు మరణించిన సంగతి తెలిసిందే. ఇలాంటి ఘటనలు జరుగుతున్నా కొందరు మాత్రం వెనక్కు తగ్గట్లేదు. తాజాగా దేవ్ అనే డిటెక్టివ్ టీవీ సిరీస్ హీరో ఆశిష్ చౌదరి, అలాంటి ప్రమాదకరమైన స్టంట్‌నే చేశాడు.           ఈ టీవీ సిరీస్‌కు సంబంధించిన షూటింగ్ ప్రస్తుతం ముంబైలో జరుగుతోంది. షూటింగ్‌లో భాగంగా 21 అంతస్తుల భవనంపై ఓ ప్రమాదకర స్టంట్‌ను చేశాడు ఆశిష్. ఎలాంటి జాగ్రత్తలూ తీసుకోకుండా 21వ అంతస్తు నుంచి సొంతంగా పైప్‌లైన్‌ను పట్టుకుని వేలాడే స్టంట్ చేశాడు. అంతకుముందు కూడా అలాంటి ఓ స్టంట్‌నే చేసిన ఆశిష్, స్వల్పంగా గాయపడ్డాడు. ఈ నేపథ్యంలో యూనిట్ వారించినా వినిపించుకోకుండా పట్టుబట్టి ఆ స్టంట్‌ను స్వయంగా చేశాడు. దీని గురించి స్వయంగా అతడు వెల్లడించాడు. దానికి సంబంధించిన ఓ వీడియోను ఇన్‌స్టాగ్రామ్ పేజీలో పోస్ట్ చేశాడు.           ‘‘5 నిముషాల సన్నివేశం కోసం 4 గంటల పాటు ఎలాంటి జాగ్రత్తలు తీసుకోకుండా 21వ అంతస్తు నుంచి అలాగే వేలాడుతూ ఉండిపోయాను’’ అని చెప్పాడు ఆశిష్. ఈ ఫీట్‌పై నెటిజన్ల నుంచి ప్రశంసల మాట పక్కనపెడితే, డబ్బుల కోసం ఇలాంటి విన్యాసాలు చేసి ప్రాణాల మీదికి తెచ్చుకోవద్దని హితవు చెబుతున్నారు. అంతేకాదు, ఇలాంటి వాటిని అస్సలు ప్రోత్సహించవద్దంటూ అతడిపై గుర్రుగా ఉన్నారు. ముఖ్యమంత్రికి సూటి ప్రశ్న వేసిన తెలుగు హీరో  ఆ పార్టీకీ ప్రచారానికి వెళ్లిన సౌందర్య గమ్యస్థానం చేరుకోకుండానే..?","Normal"
"దక్షిణ భారతాన్ని ఆక్రమించేందుకు బీజేపీ పంచెలు బిగించుకుని వస్తోంది. అయితే ఇక్కడ దాని పప్పులు ఉడకవు. భారత ప్రజాస్వామ్య వ్యవస్థను కాషాయపరంచేసే కుట్రలకు కేంద్రం సహకరిస్తోంది. ఫిరాయింపులపై బీజేపీ చట్టాలు చేస్తామనడం ఆ పార్టీ ద్వంద్వ వైఖరికి నిదర్శనం. రెండు తెలుగు రాషా్ట్రల స్పీకర్లు ప్రభుత్వ తొత్తులుగా మారారు. ఉత్తరప్రదేశ సీఎం యోగి ఆదిత్యనాధ్‌ వైఖరి.. అసలే కోతి, ఆపై కల్లు తాగి, నిప్పు తొక్కినట్లు ఉంది. -సీపీఐ జాతీయ కార్యదర్శి నారాయణ","Normal"
" నేటి మధ్యాహ్నం 1.59కి కౌంట్‌డౌన్‌ షురూశ్రీహరికోట, ఆగస్టు 29: పీఎస్‌ఎల్వీ-సీ39 రోదసియానానికి గ్రీన్‌ సిగ్నల్‌ వచ్చింది. నెల్లూరు జిల్లా శ్రీహరికోటలోని షార్‌ కేంద్రంలో రెండో ప్రయోగవేదికపై 1,425 కిలోల ఐఆర్‌ఎన్‌ఎస్‌ఎస్-1హెచ్‌తో సిద్ధంగా ఉన్న రాకెట్‌ ప్రయోగానికి లాంచ్‌ ఆథరైజేషన్‌ బోర్డు ఆమోదం తెలిపింది. షార్‌లో మంగళవారం జరిగిన మిషన్‌ రెడీనెస్‌ రివ్యూ సమావేశంలో శాస్త్రవేత్తలు రాకెట్‌ రిహార్సల్స్‌ ఫలితాలను పరిశీలించారు. రాకెట్‌ ప్రయోగానికి సిద్ధంగా ఉందని ప్రకటించారు. అనంతరం షార్‌ డైరెక్టర్‌ కున్హికృష్ణన్‌ అధ్యక్షతన లాంచ్‌ ఆథరైజేషన్‌ బోర్డు సమావేశమై ప్రయోగానికి సంసిద్ధితను వ్యక్తం చేసింది. దీంతో ఈ ప్రయోగం కోసం బుధవారం మధ్యాహ్నం 1.59 గంటలకు శాస్త్రవేత్తలు కౌంట్‌డౌన్‌ ప్రారంభించనున్నారు. గురువారం రాత్రి 7 గంటలకు పీఎ్‌సఎల్వీ-సీ39 రాకెట్‌ ద్వారా 1,425 కిలోల నావిగేషన్‌ ఉపగ్రహం ఐఆర్‌ఎన్‌ఎ్‌సఎ్‌స-1హెచ్‌ని కక్ష్యలోకి ప్రవేశపెట్టనున్నారు. స్వదేశీ నావిగేషన్‌ వ్యవస్థ కోసం గతంలో ప్రయోగించిన 7 ఉపగ్రహాల్లో తొలి ఉపగ్రహం ఐఆర్‌ఎన్‌ఎస్‌ఎస్-1ఏలో కాలసూచిక వ్యవస్థలో సాంకేతిక లోపం తలెత్తడంతో దాని స్థానంలో ఐఆర్‌ఎన్‌ఎస్‌ఎస్-1హెచ్‌ను ప్రవేశపెడుతున్నారు. కాగా, ప్రయోగాన్ని పర్యవేక్షించేందుకు ఇస్రో చైర్మన్‌ ఏఎస్‌ కిరణ్‌కుమార్‌ బుధవారం షార్‌కు చేరుకోనున్నారు.","Normal"
